arrival_delay_minutes,aircraft_type,gate_availability,ground_staff_level,weather_condition,time_of_day,turnaround_delay_risk,turnaround_delay_minutes
79,Widebody,Available,Adequate,Clear,Off-Peak,1,138
14,Narrowbody,Available,Low,Clear,Peak,0,14
61,Narrowbody,Available,Adequate,Rain,Off-Peak,1,78
61,Narrowbody,Available,Adequate,Rain,Off-Peak,1,94
46,Widebody,Constrained,Adequate,Storm,Peak,1,66
61,Narrowbody,Available,Adequate,Clear,Peak,1,87
50,Widebody,Constrained,Low,Clear,Peak,1,109
107,Narrowbody,Available,Adequate,Clear,Off-Peak,1,137
54,Narrowbody,Available,Adequate,Clear,Off-Peak,0,54
115,Narrowbody,Constrained,Adequate,Clear,Peak,1,167
63,Narrowbody,Available,Adequate,Storm,Off-Peak,1,120
2,Narrowbody,Available,Adequate,Rain,Peak,0,2
100,Narrowbody,Available,Low,Clear,Peak,1,154
50,Widebody,Available,Low,Rain,Off-Peak,1,86
6,Narrowbody,Available,Adequate,Clear,Peak,0,6
20,Narrowbody,Available,Adequate,Clear,Peak,0,20
72,Narrowbody,Available,Adequate,Rain,Off-Peak,1,114
38,Narrowbody,Available,Adequate,Clear,Off-Peak,0,38
17,Narrowbody,Available,Adequate,Storm,Off-Peak,0,17
3,Narrowbody,Available,Adequate,Rain,Off-Peak,0,3
88,Narrowbody,Available,Adequate,Clear,Off-Peak,1,103
59,Widebody,Available,Adequate,Rain,Peak,1,112
13,Widebody,Available,Adequate,Clear,Peak,0,13
113,Narrowbody,Available,Adequate,Clear,Off-Peak,1,129
8,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,8
89,Narrowbody,Available,Adequate,Clear,Peak,1,142
52,Narrowbody,Available,Low,Rain,Off-Peak,1,75
1,Narrowbody,Available,Adequate,Clear,Peak,0,1
83,Narrowbody,Available,Adequate,Rain,Off-Peak,1,135
91,Widebody,Available,Adequate,Clear,Off-Peak,1,109
110,Narrowbody,Constrained,Low,Clear,Off-Peak,1,129
59,Narrowbody,Available,Adequate,Rain,Peak,1,85
70,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,91
43,Narrowbody,Constrained,Adequate,Clear,Peak,1,58
7,Narrowbody,Constrained,Low,Clear,Off-Peak,0,7
46,Narrowbody,Constrained,Low,Clear,Off-Peak,1,98
34,Narrowbody,Available,Adequate,Clear,Off-Peak,0,34
77,Widebody,Available,Low,Rain,Peak,1,115
80,Narrowbody,Available,Low,Clear,Peak,1,95
35,Narrowbody,Available,Low,Clear,Off-Peak,0,35
49,Narrowbody,Available,Adequate,Storm,Off-Peak,1,82
103,Narrowbody,Available,Adequate,Clear,Off-Peak,1,137
3,Narrowbody,Available,Adequate,Rain,Off-Peak,0,3
1,Widebody,Available,Low,Clear,Off-Peak,0,1
5,Widebody,Available,Adequate,Clear,Peak,0,5
53,Widebody,Available,Adequate,Rain,Peak,1,99
105,Narrowbody,Available,Adequate,Clear,Off-Peak,1,135
3,Narrowbody,Constrained,Low,Rain,Off-Peak,0,3
53,Narrowbody,Available,Low,Clear,Peak,1,96
92,Narrowbody,Available,Adequate,Clear,Peak,1,129
62,Widebody,Available,Low,Clear,Off-Peak,1,109
17,Narrowbody,Available,Adequate,Clear,Off-Peak,0,17
89,Narrowbody,Available,Low,Rain,Off-Peak,1,126
43,Narrowbody,Available,Adequate,Clear,Off-Peak,0,43
33,Narrowbody,Available,Adequate,Storm,Off-Peak,0,33
73,Narrowbody,Available,Low,Storm,Off-Peak,1,89
61,Narrowbody,Available,Adequate,Clear,Peak,1,92
99,Narrowbody,Available,Low,Clear,Off-Peak,1,109
13,Widebody,Available,Adequate,Rain,Off-Peak,0,13
94,Widebody,Available,Adequate,Storm,Off-Peak,1,134
47,Narrowbody,Available,Adequate,Clear,Peak,0,47
14,Narrowbody,Constrained,Adequate,Clear,Peak,0,14
71,Narrowbody,Available,Adequate,Clear,Off-Peak,1,98
77,Narrowbody,Available,Adequate,Rain,Off-Peak,1,121
86,Narrowbody,Available,Adequate,Clear,Peak,1,145
61,Narrowbody,Available,Adequate,Rain,Off-Peak,1,100
39,Narrowbody,Available,Low,Clear,Off-Peak,0,39
84,Narrowbody,Available,Low,Clear,Off-Peak,1,135
79,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,99
108,Narrowbody,Available,Low,Clear,Off-Peak,1,144
81,Widebody,Available,Adequate,Clear,Peak,1,114
110,Widebody,Available,Adequate,Clear,Peak,1,154
52,Narrowbody,Available,Low,Clear,Off-Peak,1,100
23,Widebody,Available,Low,Clear,Peak,1,40
25,Narrowbody,Available,Adequate,Clear,Off-Peak,0,25
88,Widebody,Constrained,Low,Storm,Off-Peak,1,110
59,Widebody,Available,Adequate,Clear,Peak,1,113
108,Narrowbody,Available,Low,Clear,Peak,1,141
40,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,40
28,Narrowbody,Available,Adequate,Storm,Off-Peak,0,28
14,Narrowbody,Constrained,Adequate,Clear,Peak,0,14
44,Narrowbody,Available,Adequate,Rain,Peak,0,44
64,Narrowbody,Constrained,Adequate,Rain,Peak,1,104
88,Narrowbody,Available,Low,Rain,Off-Peak,1,125
70,Widebody,Constrained,Adequate,Clear,Off-Peak,1,101
8,Widebody,Constrained,Adequate,Rain,Off-Peak,0,8
87,Narrowbody,Available,Adequate,Clear,Off-Peak,1,124
0,Narrowbody,Constrained,Adequate,Clear,Peak,0,0
107,Narrowbody,Available,Adequate,Rain,Off-Peak,1,141
7,Narrowbody,Available,Adequate,Clear,Off-Peak,0,7
87,Widebody,Available,Adequate,Rain,Peak,1,142
62,Narrowbody,Available,Adequate,Clear,Off-Peak,0,62
10,Narrowbody,Available,Adequate,Rain,Off-Peak,0,10
114,Narrowbody,Available,Low,Clear,Peak,1,129
80,Narrowbody,Available,Low,Clear,Peak,1,113
7,Narrowbody,Constrained,Adequate,Clear,Peak,0,7
34,Widebody,Constrained,Adequate,Storm,Off-Peak,1,62
34,Narrowbody,Available,Adequate,Clear,Peak,0,34
32,Narrowbody,Available,Adequate,Clear,Peak,0,32
4,Narrowbody,Available,Adequate,Clear,Off-Peak,0,4
105,Widebody,Available,Adequate,Rain,Off-Peak,1,150
102,Widebody,Available,Adequate,Clear,Peak,1,149
40,Narrowbody,Available,Adequate,Clear,Off-Peak,0,40
27,Narrowbody,Available,Adequate,Clear,Peak,0,27
6,Narrowbody,Constrained,Low,Clear,Off-Peak,0,6
72,Narrowbody,Available,Low,Clear,Off-Peak,1,129
71,Widebody,Available,Adequate,Clear,Off-Peak,1,85
11,Narrowbody,Available,Adequate,Rain,Peak,0,11
33,Narrowbody,Available,Low,Clear,Off-Peak,0,33
32,Narrowbody,Available,Low,Clear,Off-Peak,0,32
47,Narrowbody,Available,Adequate,Clear,Peak,0,47
118,Narrowbody,Available,Adequate,Storm,Peak,1,166
22,Widebody,Available,Adequate,Storm,Peak,1,60
61,Narrowbody,Constrained,Adequate,Rain,Off-Peak,1,76
87,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,103
36,Narrowbody,Available,Adequate,Clear,Peak,0,36
98,Narrowbody,Available,Adequate,Clear,Peak,1,125
43,Narrowbody,Available,Adequate,Clear,Off-Peak,0,43
103,Narrowbody,Available,Low,Clear,Off-Peak,1,156
85,Widebody,Available,Adequate,Rain,Peak,1,132
90,Narrowbody,Available,Adequate,Rain,Off-Peak,1,100
34,Narrowbody,Available,Adequate,Rain,Peak,0,34
64,Narrowbody,Available,Adequate,Clear,Off-Peak,0,64
98,Narrowbody,Available,Low,Rain,Off-Peak,1,154
100,Widebody,Constrained,Adequate,Clear,Peak,1,144
46,Widebody,Constrained,Adequate,Clear,Off-Peak,1,78
77,Narrowbody,Available,Low,Rain,Off-Peak,1,113
2,Narrowbody,Available,Adequate,Clear,Off-Peak,0,2
0,Narrowbody,Constrained,Low,Clear,Off-Peak,0,0
4,Narrowbody,Available,Adequate,Clear,Peak,0,4
89,Narrowbody,Constrained,Adequate,Rain,Peak,1,114
118,Narrowbody,Available,Adequate,Rain,Peak,1,168
13,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,13
102,Narrowbody,Available,Low,Rain,Off-Peak,1,143
26,Widebody,Constrained,Low,Clear,Off-Peak,1,40
8,Narrowbody,Constrained,Adequate,Clear,Peak,0,8
78,Narrowbody,Available,Adequate,Rain,Peak,1,101
14,Widebody,Available,Low,Rain,Peak,1,55
89,Narrowbody,Constrained,Low,Storm,Off-Peak,1,124
41,Narrowbody,Available,Adequate,Clear,Off-Peak,0,41
76,Narrowbody,Constrained,Adequate,Rain,Off-Peak,1,91
50,Narrowbody,Available,Adequate,Rain,Off-Peak,0,50
62,Widebody,Available,Low,Storm,Off-Peak,1,111
95,Widebody,Available,Adequate,Clear,Peak,1,109
102,Narrowbody,Available,Adequate,Rain,Off-Peak,1,124
112,Narrowbody,Constrained,Low,Clear,Off-Peak,1,153
51,Narrowbody,Available,Adequate,Clear,Off-Peak,0,51
95,Narrowbody,Available,Adequate,Clear,Peak,1,105
3,Narrowbody,Available,Adequate,Clear,Peak,0,3
93,Widebody,Available,Adequate,Clear,Peak,1,113
100,Narrowbody,Constrained,Adequate,Rain,Peak,1,117
22,Widebody,Constrained,Adequate,Clear,Off-Peak,0,22
102,Narrowbody,Available,Adequate,Rain,Peak,1,151
108,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,149
14,Narrowbody,Constrained,Low,Clear,Off-Peak,0,14
42,Widebody,Available,Low,Clear,Peak,1,79
28,Widebody,Constrained,Adequate,Clear,Peak,1,51
35,Widebody,Available,Adequate,Clear,Off-Peak,0,35
12,Narrowbody,Available,Adequate,Clear,Off-Peak,0,12
31,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,31
70,Widebody,Available,Adequate,Clear,Off-Peak,1,106
58,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,87
114,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,170
85,Narrowbody,Available,Adequate,Clear,Off-Peak,1,109
27,Widebody,Constrained,Adequate,Storm,Peak,1,63
65,Widebody,Available,Adequate,Rain,Off-Peak,1,119
41,Narrowbody,Available,Adequate,Rain,Off-Peak,0,41
44,Widebody,Available,Adequate,Clear,Off-Peak,0,44
61,Widebody,Constrained,Adequate,Rain,Peak,1,95
56,Narrowbody,Available,Low,Rain,Off-Peak,1,107
116,Narrowbody,Available,Low,Rain,Off-Peak,1,169
5,Widebody,Available,Adequate,Clear,Off-Peak,0,5
27,Narrowbody,Available,Adequate,Rain,Peak,0,27
27,Narrowbody,Available,Adequate,Rain,Peak,0,27
107,Narrowbody,Available,Adequate,Clear,Peak,1,130
43,Widebody,Available,Adequate,Rain,Peak,1,60
83,Widebody,Available,Low,Clear,Peak,1,140
29,Widebody,Constrained,Adequate,Clear,Peak,1,52
61,Narrowbody,Available,Low,Clear,Off-Peak,1,71
74,Widebody,Available,Adequate,Rain,Off-Peak,1,99
118,Widebody,Constrained,Adequate,Clear,Peak,1,145
91,Narrowbody,Available,Low,Clear,Off-Peak,1,107
88,Widebody,Constrained,Adequate,Clear,Off-Peak,1,112
102,Narrowbody,Available,Adequate,Clear,Peak,1,135
61,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,119
96,Narrowbody,Available,Adequate,Rain,Peak,1,118
0,Narrowbody,Available,Low,Rain,Peak,0,0
26,Narrowbody,Available,Adequate,Clear,Off-Peak,0,26
61,Narrowbody,Constrained,Low,Clear,Peak,1,105
115,Narrowbody,Available,Low,Clear,Off-Peak,1,148
76,Widebody,Available,Low,Rain,Off-Peak,1,118
104,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,129
2,Narrowbody,Constrained,Adequate,Clear,Peak,0,2
102,Narrowbody,Available,Low,Clear,Peak,1,140
69,Widebody,Constrained,Adequate,Rain,Off-Peak,1,101
71,Narrowbody,Constrained,Adequate,Rain,Peak,1,125
26,Narrowbody,Available,Adequate,Rain,Off-Peak,0,26
8,Widebody,Available,Adequate,Rain,Peak,0,8
61,Narrowbody,Available,Adequate,Clear,Off-Peak,0,61
36,Narrowbody,Available,Adequate,Clear,Peak,0,36
96,Narrowbody,Available,Adequate,Clear,Off-Peak,1,135
50,Widebody,Available,Low,Clear,Off-Peak,1,98
105,Narrowbody,Available,Adequate,Clear,Off-Peak,1,141
43,Widebody,Available,Low,Clear,Peak,1,99
23,Narrowbody,Available,Adequate,Clear,Off-Peak,0,23
78,Widebody,Constrained,Low,Storm,Peak,1,93
58,Widebody,Constrained,Adequate,Rain,Off-Peak,1,100
117,Widebody,Available,Low,Rain,Off-Peak,1,170
31,Narrowbody,Constrained,Adequate,Rain,Off-Peak,0,31
95,Widebody,Available,Low,Clear,Peak,1,120
87,Narrowbody,Available,Adequate,Rain,Off-Peak,1,108
104,Narrowbody,Available,Low,Clear,Peak,1,133
51,Narrowbody,Available,Low,Rain,Peak,1,105
112,Widebody,Constrained,Adequate,Clear,Peak,1,161
61,Widebody,Available,Adequate,Storm,Off-Peak,1,99
112,Widebody,Available,Low,Clear,Peak,1,151
57,Narrowbody,Available,Adequate,Clear,Peak,1,92
51,Narrowbody,Available,Low,Storm,Off-Peak,1,82
11,Widebody,Available,Adequate,Clear,Peak,0,11
38,Narrowbody,Available,Adequate,Rain,Off-Peak,0,38
1,Narrowbody,Available,Low,Rain,Off-Peak,0,1
2,Narrowbody,Constrained,Adequate,Rain,Off-Peak,0,2
112,Narrowbody,Constrained,Low,Storm,Off-Peak,1,143
100,Narrowbody,Available,Adequate,Storm,Off-Peak,1,154
112,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,134
55,Narrowbody,Available,Adequate,Rain,Peak,1,73
80,Narrowbody,Available,Adequate,Rain,Off-Peak,1,113
58,Widebody,Available,Adequate,Rain,Off-Peak,1,82
112,Narrowbody,Available,Adequate,Clear,Off-Peak,1,157
1,Narrowbody,Constrained,Adequate,Rain,Peak,0,1
1,Narrowbody,Available,Adequate,Storm,Peak,0,1
91,Narrowbody,Available,Low,Storm,Peak,1,144
53,Widebody,Available,Adequate,Clear,Peak,1,99
86,Widebody,Available,Adequate,Clear,Off-Peak,1,102
100,Narrowbody,Constrained,Adequate,Clear,Peak,1,117
95,Narrowbody,Available,Adequate,Rain,Off-Peak,1,141
96,Widebody,Available,Low,Rain,Off-Peak,1,146
0,Widebody,Available,Adequate,Clear,Peak,0,0
18,Narrowbody,Available,Adequate,Clear,Off-Peak,0,18
1,Narrowbody,Available,Adequate,Clear,Peak,0,1
52,Narrowbody,Available,Adequate,Clear,Peak,0,52
43,Widebody,Available,Low,Storm,Off-Peak,1,69
89,Narrowbody,Available,Adequate,Rain,Off-Peak,1,138
31,Widebody,Constrained,Low,Clear,Off-Peak,1,69
69,Narrowbody,Constrained,Adequate,Clear,Peak,1,105
31,Narrowbody,Available,Adequate,Clear,Peak,0,31
118,Narrowbody,Available,Low,Storm,Off-Peak,1,161
67,Narrowbody,Available,Adequate,Clear,Off-Peak,0,67
54,Narrowbody,Constrained,Adequate,Clear,Peak,1,87
74,Narrowbody,Available,Adequate,Clear,Peak,1,104
55,Narrowbody,Available,Adequate,Rain,Off-Peak,0,55
16,Widebody,Available,Adequate,Rain,Off-Peak,0,16
37,Narrowbody,Available,Adequate,Rain,Peak,0,37
23,Narrowbody,Available,Adequate,Clear,Off-Peak,0,23
68,Widebody,Available,Adequate,Clear,Off-Peak,1,80
115,Widebody,Available,Adequate,Clear,Peak,1,168
97,Widebody,Available,Adequate,Rain,Peak,1,121
69,Widebody,Available,Adequate,Clear,Off-Peak,1,109
85,Narrowbody,Available,Adequate,Clear,Off-Peak,1,110
10,Narrowbody,Available,Low,Rain,Off-Peak,0,10
111,Widebody,Available,Adequate,Rain,Off-Peak,1,149
15,Narrowbody,Available,Low,Clear,Peak,0,15
96,Narrowbody,Available,Adequate,Clear,Off-Peak,1,134
72,Widebody,Constrained,Adequate,Clear,Peak,1,98
58,Narrowbody,Available,Adequate,Rain,Peak,1,89
69,Narrowbody,Available,Adequate,Rain,Off-Peak,1,102
79,Narrowbody,Available,Adequate,Clear,Off-Peak,1,105
92,Narrowbody,Available,Adequate,Clear,Off-Peak,1,122
2,Narrowbody,Available,Adequate,Rain,Peak,0,2
19,Narrowbody,Available,Low,Rain,Peak,0,19
58,Widebody,Available,Adequate,Clear,Off-Peak,1,74
35,Narrowbody,Constrained,Adequate,Clear,Peak,1,86
18,Narrowbody,Available,Low,Clear,Peak,0,18
89,Widebody,Constrained,Adequate,Clear,Peak,1,103
66,Widebody,Constrained,Adequate,Storm,Off-Peak,1,119
18,Widebody,Available,Adequate,Rain,Off-Peak,0,18
19,Widebody,Constrained,Low,Rain,Peak,1,49
95,Narrowbody,Available,Low,Clear,Off-Peak,1,122
70,Narrowbody,Constrained,Adequate,Rain,Off-Peak,1,114
51,Narrowbody,Available,Adequate,Clear,Off-Peak,0,51
104,Narrowbody,Available,Low,Clear,Off-Peak,1,128
32,Narrowbody,Available,Adequate,Clear,Off-Peak,0,32
39,Narrowbody,Available,Adequate,Clear,Peak,0,39
38,Widebody,Available,Adequate,Rain,Off-Peak,0,38
81,Narrowbody,Available,Adequate,Clear,Off-Peak,1,111
103,Narrowbody,Available,Adequate,Clear,Peak,1,149
0,Narrowbody,Available,Adequate,Clear,Off-Peak,0,0
10,Narrowbody,Available,Adequate,Clear,Off-Peak,0,10
91,Narrowbody,Available,Adequate,Clear,Peak,1,126
56,Widebody,Constrained,Low,Clear,Peak,1,107
88,Narrowbody,Constrained,Adequate,Rain,Peak,1,145
49,Narrowbody,Constrained,Adequate,Clear,Peak,1,66
22,Narrowbody,Available,Adequate,Clear,Off-Peak,0,22
30,Widebody,Available,Adequate,Clear,Peak,0,30
93,Narrowbody,Available,Adequate,Rain,Off-Peak,1,106
41,Narrowbody,Constrained,Adequate,Clear,Peak,1,71
98,Narrowbody,Available,Low,Clear,Off-Peak,1,138
6,Narrowbody,Available,Low,Clear,Peak,0,6
15,Widebody,Available,Adequate,Clear,Peak,0,15
89,Widebody,Constrained,Adequate,Clear,Peak,1,123
111,Narrowbody,Available,Adequate,Rain,Off-Peak,1,159
115,Widebody,Available,Low,Rain,Off-Peak,1,139
59,Widebody,Available,Low,Clear,Peak,1,103
112,Widebody,Available,Adequate,Rain,Peak,1,170
1,Widebody,Available,Adequate,Rain,Off-Peak,0,1
0,Narrowbody,Available,Low,Clear,Peak,0,0
47,Narrowbody,Available,Adequate,Clear,Peak,0,47
11,Narrowbody,Constrained,Adequate,Clear,Off-Peak,0,11
68,Widebody,Available,Adequate,Clear,Peak,1,124
36,Narrowbody,Constrained,Adequate,Rain,Off-Peak,1,73
31,Widebody,Constrained,Low,Rain,Off-Peak,1,54
118,Widebody,Available,Low,Storm,Off-Peak,1,131
8,Narrowbody,Available,Adequate,Rain,Peak,0,8
104,Widebody,Available,Adequate,Clear,Peak,1,147
98,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,119
18,Narrowbody,Available,Adequate,Rain,Peak,0,18
47,Widebody,Available,Adequate,Clear,Peak,1,80
79,Narrowbody,Available,Adequate,Rain,Peak,1,108
2,Widebody,Available,Adequate,Rain,Off-Peak,0,2
19,Widebody,Available,Adequate,Rain,Peak,0,19
23,Narrowbody,Available,Adequate,Rain,Off-Peak,0,23
53,Narrowbody,Available,Adequate,Clear,Off-Peak,0,53
119,Narrowbody,Available,Adequate,Rain,Off-Peak,1,171
32,Narrowbody,Available,Adequate,Rain,Off-Peak,0,32
23,Widebody,Available,Low,Clear,Peak,1,39
115,Narrowbody,Available,Adequate,Rain,Off-Peak,1,160
74,Narrowbody,Available,Adequate,Clear,Peak,1,121
112,Narrowbody,Constrained,Low,Storm,Off-Peak,1,137
71,Narrowbody,Available,Low,Clear,Off-Peak,1,95
35,Widebody,Available,Adequate,Clear,Peak,0,35
37,Narrowbody,Available,Low,Clear,Peak,1,69
103,Widebody,Available,Adequate,Rain,Off-Peak,1,124
83,Narrowbody,Available,Adequate,Clear,Off-Peak,1,121
98,Widebody,Available,Adequate,Clear,Off-Peak,1,151
111,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,168
88,Narrowbody,Available,Adequate,Storm,Peak,1,112
98,Widebody,Available,Adequate,Clear,Peak,1,136
24,Narrowbody,Available,Adequate,Clear,Off-Peak,0,24
92,Widebody,Available,Adequate,Rain,Peak,1,144
17,Narrowbody,Available,Adequate,Clear,Peak,0,17
109,Narrowbody,Available,Adequate,Storm,Off-Peak,1,139
81,Narrowbody,Available,Adequate,Clear,Off-Peak,1,105
65,Widebody,Available,Low,Rain,Peak,1,88
53,Narrowbody,Available,Low,Clear,Peak,1,104
34,Narrowbody,Available,Low,Clear,Off-Peak,0,34
79,Narrowbody,Available,Adequate,Rain,Off-Peak,1,104
60,Narrowbody,Available,Low,Clear,Off-Peak,1,84
40,Narrowbody,Constrained,Adequate,Rain,Peak,1,91
99,Widebody,Available,Adequate,Clear,Off-Peak,1,112
32,Widebody,Available,Adequate,Clear,Off-Peak,0,32
67,Widebody,Available,Adequate,Clear,Peak,1,99
32,Widebody,Constrained,Adequate,Storm,Peak,1,70
13,Narrowbody,Constrained,Adequate,Clear,Peak,0,13
20,Widebody,Available,Low,Clear,Off-Peak,0,20
47,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,99
19,Narrowbody,Available,Adequate,Clear,Off-Peak,0,19
119,Narrowbody,Available,Low,Clear,Off-Peak,1,135
7,Narrowbody,Constrained,Adequate,Storm,Peak,1,58
6,Widebody,Constrained,Adequate,Clear,Off-Peak,0,6
66,Narrowbody,Available,Adequate,Rain,Off-Peak,1,80
16,Narrowbody,Available,Adequate,Clear,Off-Peak,0,16
32,Narrowbody,Available,Adequate,Rain,Off-Peak,0,32
47,Widebody,Available,Adequate,Storm,Peak,1,97
75,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,112
58,Narrowbody,Available,Adequate,Storm,Off-Peak,1,83
114,Narrowbody,Available,Adequate,Clear,Off-Peak,1,164
85,Widebody,Available,Adequate,Storm,Off-Peak,1,124
118,Narrowbody,Available,Adequate,Rain,Off-Peak,1,131
21,Narrowbody,Available,Low,Clear,Peak,0,21
109,Narrowbody,Available,Adequate,Clear,Peak,1,164
29,Narrowbody,Constrained,Adequate,Clear,Peak,0,29
37,Narrowbody,Constrained,Adequate,Clear,Peak,1,96
101,Narrowbody,Available,Adequate,Clear,Peak,1,131
108,Widebody,Constrained,Adequate,Clear,Peak,1,123
50,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,102
53,Narrowbody,Constrained,Low,Rain,Off-Peak,1,80
7,Widebody,Available,Low,Clear,Off-Peak,0,7
26,Narrowbody,Available,Adequate,Clear,Peak,0,26
26,Narrowbody,Available,Low,Rain,Peak,1,44
97,Narrowbody,Available,Adequate,Clear,Peak,1,126
20,Narrowbody,Available,Adequate,Clear,Off-Peak,0,20
29,Widebody,Available,Adequate,Clear,Peak,0,29
96,Narrowbody,Available,Adequate,Storm,Off-Peak,1,123
27,Widebody,Available,Low,Rain,Off-Peak,1,55
110,Narrowbody,Available,Adequate,Clear,Off-Peak,1,122
63,Narrowbody,Available,Adequate,Rain,Off-Peak,1,81
96,Narrowbody,Constrained,Low,Clear,Off-Peak,1,141
68,Narrowbody,Constrained,Adequate,Rain,Off-Peak,1,108
60,Narrowbody,Constrained,Adequate,Rain,Off-Peak,1,118
47,Widebody,Constrained,Adequate,Rain,Peak,1,73
18,Narrowbody,Available,Low,Clear,Peak,0,18
3,Widebody,Constrained,Low,Clear,Peak,1,46
34,Narrowbody,Available,Adequate,Clear,Off-Peak,0,34
63,Widebody,Available,Adequate,Rain,Peak,1,113
48,Widebody,Available,Adequate,Clear,Peak,1,62
16,Widebody,Available,Low,Rain,Off-Peak,0,16
43,Widebody,Available,Adequate,Storm,Off-Peak,1,99
91,Widebody,Available,Adequate,Clear,Off-Peak,1,103
29,Narrowbody,Constrained,Low,Rain,Off-Peak,1,57
92,Narrowbody,Available,Adequate,Rain,Peak,1,129
45,Narrowbody,Available,Adequate,Storm,Peak,1,57
116,Widebody,Constrained,Adequate,Storm,Off-Peak,1,163
5,Narrowbody,Available,Low,Rain,Peak,0,5
98,Widebody,Available,Adequate,Clear,Peak,1,131
104,Narrowbody,Available,Adequate,Rain,Peak,1,144
36,Narrowbody,Available,Adequate,Clear,Off-Peak,0,36
23,Narrowbody,Available,Adequate,Rain,Peak,0,23
92,Narrowbody,Constrained,Adequate,Storm,Off-Peak,1,112
112,Narrowbody,Available,Adequate,Clear,Peak,1,158
45,Narrowbody,Available,Low,Rain,Off-Peak,1,55
52,Narrowbody,Constrained,Adequate,Clear,Off-Peak,1,70
94,Narrowbody,Available,Adequate,Clear,Peak,1,120
98,Narrowbody,Available,Adequate,Clear,Off-Peak,1,108
59,Narrowbody,Available,Adequate,Rain,Off-Peak,0,59
96,Widebody,Available,Low,Storm,Off-Peak,1,152
115,Narrowbody,Available,Adequate,Storm,Peak,1,150
62,Narrowbody,Available,Adequate,Clear,Off-Peak,0,62
84,Narrowbody,Available,Adequate,Rain,Peak,1,119
31,Narrowbody,Constrained,Adequate,Rain,Off-Peak,0,31
